Name,Glossary,Rules,内含规则,所属规则
掷骰,Rolling Dice,,"骰子 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%AA%B0%E5%AD%90%201b3d619a067b809a8af1c709238cdb0d.csv), 点数 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%82%B9%E6%95%B0%201b3d619a067b806ebe79e7eaae471228.csv), 骰面 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%AA%B0%E9%9D%A2%201b3d619a067b80a0ab34fb7befb2c3d7.csv), 尝试 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B0%9D%E8%AF%95%201b3d619a067b8009aad4e7ce70111ce4.csv), 对抗 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%AF%B9%E6%8A%97%201b3d619a067b80aa97d4c2a5907023af.csv), 援助 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%8F%B4%E5%8A%A9%201b3d619a067b8005bca3d6b55cc77f3d.csv), 重掷 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%87%8D%E6%8E%B7%201b3d619a067b809d8cb7f59e5609fcfc.csv), 暗掷 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%9A%97%E6%8E%B7%201b3d619a067b806e9bd2d8880bfa8515.csv)",简介 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%AE%80%E4%BB%8B%201b3d619a067b8013924acffdef02e737.csv)
骰子,Dice,,,掷骰 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%8E%B7%E9%AA%B0%201b3d619a067b80f89c53e38483e535c4.csv)
点数,Points,,,掷骰 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%8E%B7%E9%AA%B0%201b3d619a067b80f89c53e38483e535c4.csv)
骰面,Numbers,,,掷骰 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%8E%B7%E9%AA%B0%201b3d619a067b80f89c53e38483e535c4.csv)
尝试,Attempt,,"累加尝试 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%B4%AF%E5%8A%A0%E5%B0%9D%E8%AF%95%201b3d619a067b803aa44aee27ccd6ce77.csv), 难度 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%9A%BE%E5%BA%A6%201b3d619a067b80fbbc95dc0c033f5e3c.csv)",掷骰 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%8E%B7%E9%AA%B0%201b3d619a067b80f89c53e38483e535c4.csv)
累加尝试,Progressive Attempt,,,尝试 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B0%9D%E8%AF%95%201b3d619a067b8009aad4e7ce70111ce4.csv)
难度,Difficulty,,,尝试 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B0%9D%E8%AF%95%201b3d619a067b8009aad4e7ce70111ce4.csv)
对抗,Contest,,"累加对抗 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%B4%AF%E5%8A%A0%E5%AF%B9%E6%8A%97%201b3d619a067b8056bf12fecc47dc6883.csv), 平手 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B9%B3%E6%89%8B%201b9d619a067b801e872cde1c5ab81dfb.csv)",掷骰 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%8E%B7%E9%AA%B0%201b3d619a067b80f89c53e38483e535c4.csv)
累加对抗,Progressive Contest,,,对抗 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%AF%B9%E6%8A%97%201b3d619a067b80aa97d4c2a5907023af.csv)
援助,Assist,,,掷骰 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%8E%B7%E9%AA%B0%201b3d619a067b80f89c53e38483e535c4.csv)
重掷,Re-roll,,,掷骰 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%8E%B7%E9%AA%B0%201b3d619a067b80f89c53e38483e535c4.csv)
暗掷,Secret Roll,,,掷骰 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%8E%B7%E9%AA%B0%201b3d619a067b80f89c53e38483e535c4.csv)
生物,Creatures,,,角色构成 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%A7%92%E8%89%B2%E6%9E%84%E6%88%90%201b3d619a067b80d287aed4f16574052e.csv)
角色卡,Character Sheet,,,角色构成 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%A7%92%E8%89%B2%E6%9E%84%E6%88%90%201b3d619a067b80d287aed4f16574052e.csv)
预设角色,Preset Characters,,,角色构成 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%A7%92%E8%89%B2%E6%9E%84%E6%88%90%201b3d619a067b80d287aed4f16574052e.csv)
特征,Features,,"种族 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%A7%8D%E6%97%8F%201b3d619a067b803da419db8bd9eb17e5.csv), 性别 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%80%A7%E5%88%AB%201b3d619a067b806b8d7afecd6a1b5c36.csv), 体型 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E4%BD%93%E5%9E%8B%201b3d619a067b8088832ae7bd3d7333df.csv), 形态 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%BD%A2%E6%80%81%201b3d619a067b800ea0fadde7abc3ff91.csv), 感知范围 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%84%9F%E7%9F%A5%E8%8C%83%E5%9B%B4%201b3d619a067b8065b638d07dd11eb74b.csv), 移动速度 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%A7%BB%E5%8A%A8%E9%80%9F%E5%BA%A6%201b3d619a067b809a974ac608bbb4fb54.csv), 装备位置 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%A3%85%E5%A4%87%E4%BD%8D%E7%BD%AE%201b3d619a067b80369463de062aa239bb.csv), 姓名 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%A7%93%E5%90%8D%201b3d619a067b80b98261cc243e5fffde.csv), 负载 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%B4%9F%E8%BD%BD%201b3d619a067b80c28997e019fd33bbe3.csv), 身高 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%BA%AB%E9%AB%98%201b3d619a067b8074a90ff9e90fd2a05a.csv), 体重 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E4%BD%93%E9%87%8D%201b3d619a067b8044ac61c5f9b7a356e8.csv), 外貌 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%A4%96%E8%B2%8C%201b3d619a067b808ca875f766c5817acd.csv), 年龄 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B9%B4%E9%BE%84%201b3d619a067b8032bc05cba46ed99b5d.csv), 个性 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E4%B8%AA%E6%80%A7%201b3d619a067b80f99db2e8f2f4ffc05d.csv), 取向 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%8F%96%E5%90%91%201b3d619a067b809cae10ebd322564ca7.csv), 癖好 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%99%96%E5%A5%BD%201b3d619a067b805e8eacc1abf89818ae.csv)",角色构成 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%A7%92%E8%89%B2%E6%9E%84%E6%88%90%201b3d619a067b80d287aed4f16574052e.csv)
种族,Species,,亚种 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E4%BA%9A%E7%A7%8D%201b3d619a067b808b8ae0ec41c3e2d312.csv),特征 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%B9%E5%BE%81%201b3d619a067b80d38de2c2a59fe67ae2.csv)
亚种,Race,,,种族 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%A7%8D%E6%97%8F%201b3d619a067b803da419db8bd9eb17e5.csv)
性别,Gender,,,特征 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%B9%E5%BE%81%201b3d619a067b80d38de2c2a59fe67ae2.csv)
体型,Size,,"体型等级 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E4%BD%93%E5%9E%8B%E7%AD%89%E7%BA%A7%201b3d619a067b8055a0e9c2d747e0d1ab.csv), 占位 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%8D%A0%E4%BD%8D%201b3d619a067b804e8195d876ec9d0551.csv)",特征 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%B9%E5%BE%81%201b3d619a067b80d38de2c2a59fe67ae2.csv)
形态,Form,,,特征 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%B9%E5%BE%81%201b3d619a067b80d38de2c2a59fe67ae2.csv)
感知范围,Perception Range,,感知方式 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%84%9F%E7%9F%A5%E6%96%B9%E5%BC%8F%201b3d619a067b80318648d2e483320f66.csv),特征 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%B9%E5%BE%81%201b3d619a067b80d38de2c2a59fe67ae2.csv)
感知方式,Perception,,感知方式（不擅） (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%84%9F%E7%9F%A5%E6%96%B9%E5%BC%8F%EF%BC%88%E4%B8%8D%E6%93%85%EF%BC%89%201c2d619a067b80b787a6d81db5f7d2b0.csv),感知范围 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%84%9F%E7%9F%A5%E8%8C%83%E5%9B%B4%201b3d619a067b8065b638d07dd11eb74b.csv)
移动速度,Movement Speed,,移动方式 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%A7%BB%E5%8A%A8%E6%96%B9%E5%BC%8F%201b3d619a067b8086b569e829af344412.csv),特征 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%B9%E5%BE%81%201b3d619a067b80d38de2c2a59fe67ae2.csv)
移动方式,Mobility,,移动方式（不擅） (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%A7%BB%E5%8A%A8%E6%96%B9%E5%BC%8F%EF%BC%88%E4%B8%8D%E6%93%85%EF%BC%89%201c2d619a067b80bc84f7debe73e905bd.csv),移动速度 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%A7%BB%E5%8A%A8%E9%80%9F%E5%BA%A6%201b3d619a067b809a974ac608bbb4fb54.csv)
装备位置,Item Slots,,,特征 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%B9%E5%BE%81%201b3d619a067b80d38de2c2a59fe67ae2.csv)
姓名,Name,,代号 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E4%BB%A3%E5%8F%B7%201b3d619a067b800c83f9f153e1e3fab5.csv),特征 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%B9%E5%BE%81%201b3d619a067b80d38de2c2a59fe67ae2.csv)
代号,Alias,,,姓名 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%A7%93%E5%90%8D%201b3d619a067b80b98261cc243e5fffde.csv)
负载,Carrying Capacity,扩展,,特征 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%B9%E5%BE%81%201b3d619a067b80d38de2c2a59fe67ae2.csv)
身高,Body Height,扩展,身长 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%BA%AB%E9%95%BF%201b3d619a067b80cc8d8fd61b072ac155.csv),特征 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%B9%E5%BE%81%201b3d619a067b80d38de2c2a59fe67ae2.csv)
身长,Body Length,,,身高 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%BA%AB%E9%AB%98%201b3d619a067b8074a90ff9e90fd2a05a.csv)
体重,Body Weight,扩展,,特征 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%B9%E5%BE%81%201b3d619a067b80d38de2c2a59fe67ae2.csv)
外貌,Appearance,扩展,,特征 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%B9%E5%BE%81%201b3d619a067b80d38de2c2a59fe67ae2.csv)
年龄,Age,扩展,"幼年 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B9%BC%E5%B9%B4%201b3d619a067b80b28464e8d22ceafaef.csv), 成年 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%88%90%E5%B9%B4%201b3d619a067b80149cc0da48bd4f4eba.csv), 老年 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%80%81%E5%B9%B4%201b3d619a067b8093a7a6db4ad3efb22c.csv)",特征 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%B9%E5%BE%81%201b3d619a067b80d38de2c2a59fe67ae2.csv)
个性,Personality,扩展,,特征 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%B9%E5%BE%81%201b3d619a067b80d38de2c2a59fe67ae2.csv)
取向,Sexuality,扩展,,特征 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%B9%E5%BE%81%201b3d619a067b80d38de2c2a59fe67ae2.csv)
癖好,Hobby,扩展,,特征 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%B9%E5%BE%81%201b3d619a067b80d38de2c2a59fe67ae2.csv)
体型等级,Level of Size,,,体型 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E4%BD%93%E5%9E%8B%201b3d619a067b8088832ae7bd3d7333df.csv)
占位,Dimension,,,体型 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E4%BD%93%E5%9E%8B%201b3d619a067b8088832ae7bd3d7333df.csv)
幼年,Juvenile,,,年龄 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B9%B4%E9%BE%84%201b3d619a067b8032bc05cba46ed99b5d.csv)
成年,Adult,,,年龄 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B9%B4%E9%BE%84%201b3d619a067b8032bc05cba46ed99b5d.csv)
老年,Elder,,,年龄 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B9%B4%E9%BE%84%201b3d619a067b8032bc05cba46ed99b5d.csv)
强壮,Might,,,属性 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B1%9E%E6%80%A7%201b3d619a067b804ca28edff3c446c0da.csv)
活力,Agility,,,属性 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B1%9E%E6%80%A7%201b3d619a067b804ca28edff3c446c0da.csv)
精神,Spirit,,,属性 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B1%9E%E6%80%A7%201b3d619a067b804ca28edff3c446c0da.csv)
受训属性,Acquired Score,,,属性 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B1%9E%E6%80%A7%201b3d619a067b804ca28edff3c446c0da.csv)
基础属性,Permanent Score,,,属性 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B1%9E%E6%80%A7%201b3d619a067b804ca28edff3c446c0da.csv)
临时属性,Temporary Score,,,属性 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B1%9E%E6%80%A7%201b3d619a067b804ca28edff3c446c0da.csv)
属性骰,Attribute Dice,,"强壮骰 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%BC%BA%E5%A3%AE%E9%AA%B0%201b3d619a067b806094ebcc0abdf4ba13.csv), 活力骰 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%B4%BB%E5%8A%9B%E9%AA%B0%201b3d619a067b8019a494fecc31aaaafa.csv), 精神骰 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%B2%BE%E7%A5%9E%E9%AA%B0%201b3d619a067b80a8a9ffef3e0057db9d.csv), 命运抉择 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%91%BD%E8%BF%90%E6%8A%89%E6%8B%A9%201b3d619a067b80baa292ea0a9ad962e0.csv)",属性 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B1%9E%E6%80%A7%201b3d619a067b804ca28edff3c446c0da.csv)
命运抉择,Fate Expense,,,属性骰 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B1%9E%E6%80%A7%E9%AA%B0%201b3d619a067b80d2a1ebea63149d92fb.csv)
无效属性,Invalid Attribute,,,属性 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B1%9E%E6%80%A7%201b3d619a067b804ca28edff3c446c0da.csv)
强壮骰,Might Dice,,,属性骰 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B1%9E%E6%80%A7%E9%AA%B0%201b3d619a067b80d2a1ebea63149d92fb.csv)
活力骰,Agility Dice,,,属性骰 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B1%9E%E6%80%A7%E9%AA%B0%201b3d619a067b80d2a1ebea63149d92fb.csv)
精神骰,Spirit Dice,,,属性骰 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B1%9E%E6%80%A7%E9%AA%B0%201b3d619a067b80d2a1ebea63149d92fb.csv)
物理防护,Toughness (Physical Protection),,,防护 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%98%B2%E6%8A%A4%201b3d619a067b806e8bd4c7265f5a00fa.csv)
侵蚀防护,Endurance (Erosive Protection),,,防护 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%98%B2%E6%8A%A4%201b3d619a067b806e8bd4c7265f5a00fa.csv)
灵异防护,Resistance (Occult Protection),,,防护 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%98%B2%E6%8A%A4%201b3d619a067b806e8bd4c7265f5a00fa.csv)
免疫,Immunity,,,防护 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%98%B2%E6%8A%A4%201b3d619a067b806e8bd4c7265f5a00fa.csv)
实力,Strength,,,潜能 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%BD%9C%E8%83%BD%201b3d619a067b80c2bdb4c721adc30021.csv)
能力等级,Ability Level,,,能力 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%83%BD%E5%8A%9B%201b3d619a067b80139849d21869c19f49.csv)
